,atm_name,weekday,festival_religion,working_day,holiday_sequence,trans_date_set,trans_month,prevweek_mean,total_amount_withdrawn,timestamp
0,Mount Road ATM,MONDAY,NH,W,WWW,1,1,648600.0,897100,0
1,Mount Road ATM,TUESDAY,NH,W,WWW,1,1,648600.0,826000,1
2,Mount Road ATM,WEDNESDAY,NH,W,WWW,1,1,648600.0,754400,2
3,Mount Road ATM,THURSDAY,NH,W,WWW,2,1,648600.0,834200,3
4,Mount Road ATM,FRIDAY,NH,W,WWW,2,1,648600.0,575300,4
5,Mount Road ATM,SATURDAY,NH,H,WHH,2,1,648600.0,792700,5
6,Mount Road ATM,SUNDAY,NH,H,HHW,2,1,648600.0,751800,6
7,Mount Road ATM,MONDAY,NH,W,HWW,2,1,775929.0,702200,7
8,Mount Road ATM,TUESDAY,NH,W,WWW,3,1,775929.0,506000,8
9,Mount Road ATM,WEDNESDAY,NH,W,WWW,3,1,775929.0,647600,9
10,Mount Road ATM,THURSDAY,NH,W,WWW,3,1,775929.0,506300,10
11,Mount Road ATM,FRIDAY,NH,W,WWH,3,1,775929.0,451400,11
12,Mount Road ATM,SATURDAY,H,H,WHH,3,1,775929.0,200500,12
13,Mount Road ATM,SUNDAY,H,H,HHH,4,1,775929.0,205300,13
14,Mount Road ATM,MONDAY,H,H,HHW,4,1,459900.0,221900,14
15,Mount Road ATM,TUESDAY,NH,W,HWW,4,1,459900.0,405200,15
16,Mount Road ATM,WEDNESDAY,NH,W,WWW,4,1,459900.0,537700,16
17,Mount Road ATM,THURSDAY,NH,W,WWW,4,1,459900.0,565500,17
18,Mount Road ATM,FRIDAY,NH,W,WWH,5,1,459900.0,450400,18
19,Mount Road ATM,SATURDAY,NH,H,WHH,5,1,459900.0,455600,19
20,Mount Road ATM,SUNDAY,NH,H,HHW,5,1,459900.0,352100,20
21,Mount Road ATM,MONDAY,NH,W,HWW,5,1,426915.0,498900,21
22,Mount Road ATM,TUESDAY,NH,W,WHW,5,1,426915.0,439300,22
23,Mount Road ATM,WEDNESDAY,N,H,WHW,6,1,426915.0,255400,23
24,Mount Road ATM,THURSDAY,NH,W,HWW,6,1,426915.0,461500,24
25,Mount Road ATM,FRIDAY,NH,W,WWH,6,1,426915.0,336300,25
26,Mount Road ATM,SATURDAY,NH,H,WHH,6,1,426915.0,428000,26
27,Mount Road ATM,SUNDAY,NH,H,HHW,6,1,426915.0,296400,27
28,Mount Road ATM,MONDAY,NH,W,HWW,7,1,387972.0,515100,28
29,Mount Road ATM,TUESDAY,NH,W,WWW,1,2,387972.0,631800,29
30,Mount Road ATM,WEDNESDAY,NH,W,WWW,1,2,387972.0,714900,30
31,Mount Road ATM,THURSDAY,NH,W,WWW,1,2,387972.0,593000,31
32,Mount Road ATM,FRIDAY,NH,W,WWH,1,2,387972.0,615700,32
33,Mount Road ATM,SATURDAY,NH,H,WHH,1,2,387972.0,1007100,33
34,Mount Road ATM,SUNDAY,NH,H,HHW,2,2,387972.0,499900,34
35,Mount Road ATM,MONDAY,NH,W,HWW,2,2,653929.0,622800,35
36,Mount Road ATM,TUESDAY,NH,W,WWW,2,2,653929.0,620200,36
37,Mount Road ATM,WEDNESDAY,NH,W,WWW,2,2,653929.0,649100,37
38,Mount Road ATM,THURSDAY,NH,W,WWW,2,2,653929.0,508500,38
39,Mount Road ATM,FRIDAY,NH,W,WWW,3,2,653929.0,462500,39
40,Mount Road ATM,SATURDAY,NH,H,WHH,3,2,653929.0,357100,40
41,Mount Road ATM,SUNDAY,NH,H,HHW,3,2,653929.0,359400,41
42,Mount Road ATM,MONDAY,NH,W,HWW,3,2,511372.0,413100,42
43,Mount Road ATM,TUESDAY,NH,W,WWH,3,2,511372.0,499900,43
44,Mount Road ATM,WEDNESDAY,M,H,WHW,4,2,511372.0,317300,44
45,Mount Road ATM,THURSDAY,NH,W,HWW,4,2,511372.0,549900,45
46,Mount Road ATM,FRIDAY,NH,W,WWH,4,2,511372.0,484200,46
47,Mount Road ATM,SATURDAY,NH,H,WHH,4,2,511372.0,441400,47
48,Mount Road ATM,SUNDAY,NH,H,HHW,4,2,511372.0,407300,48
49,Mount Road ATM,MONDAY,NH,W,HWW,5,2,444729.0,456400,49
50,Mount Road ATM,TUESDAY,NH,W,WWW,5,2,444729.0,479200,50
51,Mount Road ATM,WEDNESDAY,NH,W,WWW,5,2,444729.0,379700,51
52,Mount Road ATM,THURSDAY,NH,W,WWW,5,2,444729.0,391600,52
53,Mount Road ATM,FRIDAY,NH,W,WWH,5,2,444729.0,339300,53
54,Mount Road ATM,SATURDAY,NH,H,WHH,6,2,444729.0,470600,54
55,Mount Road ATM,SUNDAY,NH,H,HHW,6,2,444729.0,8100,55
56,Mount Road ATM,MONDAY,NH,W,HWW,6,2,360700.0,572800,56
57,Mount Road ATM,TUESDAY,NH,W,WWW,1,3,360700.0,730000,57
58,Mount Road ATM,WEDNESDAY,NH,W,WWW,1,3,360700.0,610800,58
59,Mount Road ATM,THURSDAY,H,W,WWW,1,3,360700.0,766800,59
60,Mount Road ATM,FRIDAY,NH,W,WWH,1,3,360700.0,738900,60
61,Mount Road ATM,SATURDAY,NH,H,WHH,1,3,360700.0,1005600,61
62,Mount Road ATM,SUNDAY,NH,H,HHW,2,3,360700.0,668600,62
63,Mount Road ATM,MONDAY,NH,W,HWW,2,3,727643.0,644900,63
64,Mount Road ATM,TUESDAY,NH,W,WWW,2,3,727643.0,950400,64
65,Mount Road ATM,WEDNESDAY,NH,W,WWW,2,3,727643.0,620900,65
66,Mount Road ATM,THURSDAY,NH,W,WWW,2,3,727643.0,529900,66
67,Mount Road ATM,FRIDAY,NH,W,WWW,3,3,727643.0,441100,67
68,Mount Road ATM,SATURDAY,NH,H,WHH,3,3,727643.0,502900,68
69,Mount Road ATM,SUNDAY,NH,H,HHW,3,3,727643.0,301800,69
70,Mount Road ATM,MONDAY,NH,W,HWW,3,3,570272.0,566800,70
71,Mount Road ATM,TUESDAY,NH,W,WWW,3,3,570272.0,513000,71
72,Mount Road ATM,WEDNESDAY,NH,W,WWW,4,3,570272.0,525600,72
73,Mount Road ATM,THURSDAY,NH,W,WWW,4,3,570272.0,395500,73
74,Mount Road ATM,FRIDAY,NH,W,WWH,4,3,570272.0,533600,74
75,Mount Road ATM,SATURDAY,NH,H,WHH,4,3,570272.0,544000,75
76,Mount Road ATM,SUNDAY,H,H,HHW,4,3,570272.0,395200,76
77,Mount Road ATM,MONDAY,NH,W,HWW,5,3,496243.0,336000,77
78,Mount Road ATM,TUESDAY,NH,W,WWW,5,3,496243.0,288500,78
79,Mount Road ATM,WEDNESDAY,NH,W,WWW,5,3,496243.0,465300,79
80,Mount Road ATM,THURSDAY,NH,W,WWW,5,3,496243.0,365900,80
81,Mount Road ATM,FRIDAY,NH,W,WWH,5,3,496243.0,390200,81
82,Mount Road ATM,SATURDAY,NH,H,WHH,6,3,496243.0,320500,82
83,Mount Road ATM,SUNDAY,NH,H,HHW,6,3,496243.0,332700,83
84,Mount Road ATM,MONDAY,NH,W,HWW,6,3,357015.0,410200,84
85,Mount Road ATM,TUESDAY,NH,W,WWW,6,3,357015.0,538800,85
86,Mount Road ATM,WEDNESDAY,NH,W,WWW,6,3,357015.0,475100,86
87,Mount Road ATM,THURSDAY,NH,W,WWW,7,3,357015.0,456500,87
88,Mount Road ATM,FRIDAY,NH,W,WWH,1,4,357015.0,464800,88
89,Mount Road ATM,SATURDAY,NH,H,WHH,1,4,357015.0,776400,89
90,Mount Road ATM,SUNDAY,NH,H,HHW,1,4,357015.0,445500,90
91,Mount Road ATM,MONDAY,H,W,HWW,1,4,509615.0,608500,91
92,Mount Road ATM,TUESDAY,NH,W,WWW,1,4,509615.0,734200,92
93,Mount Road ATM,WEDNESDAY,NH,W,WWW,2,4,509615.0,638500,93
94,Mount Road ATM,THURSDAY,NH,W,WWW,2,4,509615.0,688000,94
95,Mount Road ATM,FRIDAY,NH,W,WWH,2,4,509615.0,774300,95
96,Mount Road ATM,SATURDAY,NH,H,WHH,2,4,509615.0,602200,96
97,Mount Road ATM,SUNDAY,NH,H,HHW,2,4,509615.0,442300,97
98,Mount Road ATM,MONDAY,NH,W,HWH,3,4,641143.0,679100,98
99,Mount Road ATM,TUESDAY,H,H,WHW,3,4,641143.0,559200,99
100,Mount Road ATM,WEDNESDAY,NH,W,HWH,3,4,641143.0,362400,100
101,Mount Road ATM,THURSDAY,N,H,WHW,3,4,641143.0,288700,101
